,index,year,bmi,Vape_Use,Physical_Activity,Television,Electronic_Devices,Grades,race,sex,weight,marijuana_use
161,173612,2015,29.3492,2,8,1,7,2,1,2,92.99,2
162,173615,2015,27.7743,2,6,4,2,4,1,2,88,2
163,173616,2015,33.3223,2,1,4,6,2,1,2,90.72,2
164,173617,2015,21.6978,1,8,3,4,2,3,2,61.24,2
165,173618,2015,21.1713,2,7,3,5,1,4,2,56.25,2
166,173619,2015,19.8438,2,6,4,5,1,3,2,50.8,2
167,173620,2015,25.0537,2,5,3,6,2,4,2,79.38,2
168,173621,2015,20.9408,2,7,6,6,2,1,2,71.67,2
169,173622,2015,20.5353,1,2,5,7,7,2,2,72.58,1
170,173623,2015,17.9269,2,6,4,7,2,3,2,47.63,2
171,173624,2015,37.0286,1,8,6,7,5,3,2,113.4,1
172,173625,2015,20.0893,1,1,5,5,2,4,2,56.7,2
173,173626,2015,20.2442,2,6,3,5,2,3,2,49.9,2
174,173627,2015,19.5527,1,8,1,1,2,3,2,59.88,1
175,173628,2015,18.9936,1,3,7,7,3,3,2,51.71,2
176,173629,2015,20.2906,1,7,2,2,1,3,2,62.14,2
177,173630,2015,23.7033,1,5,2,1,4,1,2,79.38,1
178,173632,2015,29.0256,2,6,4,4,1,3,2,99.34,2
179,173633,2015,20.0576,1,8,1,7,4,3,2,49.44,1
180,173634,2015,20.09,1,5,4,3,3,3,2,58.06,2
181,173635,2015,17.2664,1,2,1,1,4,3,2,49.9,1
182,173636,2015,20.4048,2,5,5,5,2,1,2,58.97,2
183,173638,2015,17.6679,2,1,7,7,1,2,2,40.82,2
184,173639,2015,33.4727,2,5,4,3,3,1,2,102.51,2
185,173640,2015,24.6436,2,6,4,1,2,4,2,71.22,2
186,173641,2015,20.3171,1,8,3,6,3,1,2,68.04,1
187,173643,2015,19.2508,2,6,4,4,3,1,2,68.04,2
188,173644,2015,50.1417,2,1,1,7,2,4,2,141.52,2
189,173645,2015,15.9963,2,6,7,3,3,2,2,43.55,2
190,173646,2015,23.003,2,5,2,4,2,3,2,56.7,2
191,173647,2015,18.2866,2,5,3,2,2,1,2,61.24,2
192,173648,2015,18.9012,2,6,4,6,3,1,2,61.24,2
193,173649,2015,20.375,2,1,7,5,2,1,2,52.16,2
194,173650,2015,15.1077,1,1,4,3,1,3,2,42.64,2
195,173651,2015,18.8339,1,8,2,7,1,1,2,54.43,1
196,173653,2015,19.9927,1,8,2,1,2,4,2,54.43,2
197,173654,2015,21.6978,1,1,4,5,2,4,2,61.24,2
198,173655,2015,23.7847,2,6,1,5,2,2,2,67.13,2
199,173656,2015,20.4618,1,8,4,6,2,1,2,61.24,1
200,173657,2015,16.2531,2,8,2,1,3,1,2,54.43,2
201,173658,2015,22.6021,2,1,7,7,3,3,2,65.32,2
202,173660,2015,19.285,2,6,6,2,2,1,2,54.43,2
203,173661,2015,24.3811,2,5,6,2,1,1,2,81.65,2
204,173662,2015,41.087,1,7,2,7,6,1,2,130.18,1
205,173663,2015,18.0149,2,7,2,4,1,1,2,60.33,2
206,173664,2015,19.4625,2,5,5,4,1,1,2,51.71,2
207,173665,2015,25.7782,2,8,1,6,2,1,2,68.49,2
208,173666,2015,19.7576,2,6,4,5,1,1,2,62.6,2
209,173667,2015,26.3724,2,4,1,5,2,1,2,78.93,2
210,173668,2015,21.5349,1,6,5,6,7,3,2,60.78,1
211,173669,2015,25.059,2,8,3,7,3,1,2,83.92,1
212,173670,2015,28.3379,1,8,2,3,1,3,2,69.85,1
213,173671,2015,19.7033,2,8,3,3,3,1,2,58.97,2
214,173672,2015,22.082,2,3,1,5,2,1,2,54.43,2
215,173673,2015,17.1378,2,6,1,5,3,3,2,38.56,2
216,173674,2015,19.3284,1,4,2,3,3,1,2,61.24,1
217,173675,2015,21.4746,2,6,3,1,4,4,2,68.04,2
218,173677,2015,20.0417,2,8,3,6,2,1,2,63.5,2
219,173678,2015,30.6158,1,8,1,1,3,1,2,91.63,2
220,173679,2015,17.68,2,4,3,4,1,2,2,49.9,2
221,173680,2015,21.5349,2,6,4,2,2,2,2,60.78,2
222,173681,2015,17.68,1,1,7,7,6,2,2,49.9,1
223,173682,2015,19.5496,2,5,4,5,1,1,2,58.51,2
224,173683,2015,19.4637,2,1,1,6,7,2,2,56.25,2
225,173685,2015,18.2006,2,8,3,5,1,4,2,58.97,2
226,173687,2015,17.4279,1,8,3,4,1,1,2,52.16,2
227,173689,2015,18.3213,1,8,1,7,3,4,2,51.71,1
228,173690,2015,17.8394,1,6,3,3,2,3,2,50.35,2
229,173691,2015,23.5433,2,8,3,5,1,1,2,68.04,2
230,173692,2015,19.2555,2,8,1,7,1,4,2,58.97,2
231,173694,2015,32.6247,2,5,3,4,1,3,2,92.08,2
232,173695,2015,16.4626,2,6,1,4,1,1,2,52.16,2
233,173696,2015,25.8711,2,6,2,5,2,3,2,66.23,2
234,173698,2015,23.6584,2,4,1,3,2,3,2,64.41,2
235,173701,2015,23.3029,2,6,2,6,3,1,2,65.77,2
236,173702,2015,22.4298,2,6,1,2,1,4,2,67.13,2
237,173703,2015,30.7647,2,6,2,6,2,4,2,88.91,2
238,173704,2015,24.9114,2,8,3,4,3,3,2,70.31,2
239,173705,2015,16.0714,2,6,7,5,2,2,2,45.36,2
240,173706,2015,18.3213,2,8,2,3,2,1,2,51.71,2
241,173707,2015,24.0977,1,8,2,5,2,3,2,61.69,1
242,173708,2015,22.7578,1,8,7,7,2,2,2,65.77,2
243,173710,2015,21.825,2,8,4,1,3,3,2,65.32,1
244,173711,2015,19.1589,2,5,2,2,2,3,2,52.16,2
245,173712,2015,19.2591,2,8,3,5,1,1,2,46.27,2
246,173713,2015,28.92,1,5,7,3,4,1,2,91.63,2
247,173714,2015,20.4048,1,5,2,1,4,3,2,58.97,1
248,173715,2015,30.3117,1,3,3,4,5,3,2,90.72,2
249,173716,2015,22.7338,2,4,5,3,3,1,2,68.04,2
250,173718,2015,18.0484,1,4,7,4,3,3,2,52.16,2
251,173719,2015,20.375,1,8,1,5,2,3,2,52.16,1
252,173720,2015,17.5,1,5,3,7,2,1,2,56.7,1
253,173721,2015,20.7191,2,8,2,4,3,1,2,67.13,2
254,173722,2015,24.4296,1,7,2,1,3,1,2,68.95,1
255,173723,2015,18.6437,2,8,5,6,5,4,2,52.62,1
256,173724,2015,19.1235,1,8,3,1,1,2,2,67.59,2
257,173725,2015,16.8757,2,8,3,2,1,1,2,47.63,2
258,173726,2015,22.494,2,8,7,4,3,1,2,61.24,2
259,173727,2015,27.2812,1,7,1,4,1,3,2,81.65,1
260,173730,2015,27.4316,1,6,3,4,2,3,2,82.1,1
261,173731,2015,27.2812,2,4,1,4,3,4,2,81.65,2
262,173732,2015,15.5938,2,8,2,1,1,4,2,39.92,2
263,173735,2015,23.0988,2,8,2,4,2,1,2,74.84,1
264,173736,2015,29.7336,2,5,4,4,2,3,2,83.92,2
265,173737,2015,19.7033,2,5,5,5,1,1,2,58.97,2
266,173738,2015,40.7314,2,6,4,6,7,4,2,124.74,2
267,173740,2015,21.2067,2,8,5,5,1,1,2,72.58,2
268,173741,2015,20.2994,2,6,2,2,2,1,2,65.77,2
269,173742,2015,16.6592,1,8,5,1,3,1,2,55.79,1
270,173743,2015,19.0855,1,8,4,4,2,4,2,65.32,1
271,173744,2015,18.6082,1,8,1,2,1,4,2,49.44,2
272,173745,2015,18.6082,2,3,4,6,3,3,2,49.44,2
273,173750,2015,19.1488,2,6,4,4,2,4,2,55.34,2
274,173751,2015,18.0484,1,3,3,1,2,4,2,52.16,2
275,173753,2015,19.6319,1,8,1,2,3,2,2,52.16,2
276,173754,2015,25.6677,2,7,4,5,2,3,2,90.72,2
277,173755,2015,19.8252,2,8,2,2,2,1,2,47.63,2
