,index,year,bmi,Vape_Use,Physical_Activity,Television,Electronic_Devices,Grades,race,sex,weight
137,173583,2015,17.9989,1,6,4,2,2,3,2,50.8
138,173584,2015,28.5273,2,3,5,7,1,3,2,73.03
139,173585,2015,16.73,2,2,1,4,1,4,2,44.45
140,173586,2015,27.2994,1,8,3,2,3,1,2,88.45
141,173587,2015,18.7945,2,7,5,2,3,2,2,56.25
142,173588,2015,26.5781,2,8,7,4,3,1,2,68.04
143,173589,2015,17.0474,2,8,4,6,3,2,2,63.5
144,173591,2015,18.421,1,8,4,4,3,4,2,61.69
145,173592,2015,19.12,2,8,7,6,4,3,2,50.8
146,173593,2015,19.2555,2,6,1,3,1,4,2,58.97
147,173594,2015,34.7151,2,1,2,7,2,3,2,97.98
148,173596,2015,21.7618,2,5,3,6,3,3,2,68.95
149,173597,2015,23.7877,2,8,3,6,2,3,2,57.15
150,173598,2015,21.9753,2,5,2,5,1,1,2,65.77
151,173599,2015,19.4637,2,2,4,2,1,1,2,56.25
152,173600,2015,20.3169,1,8,6,6,2,4,2,53.98
153,173601,2015,22.4986,2,6,1,7,1,4,2,63.5
154,173602,2015,24.3372,2,8,1,6,1,4,2,77.11
155,173603,2015,16.0647,2,6,2,4,2,1,2,48.08
156,173604,2015,28.0088,2,6,7,1,2,1,2,104.33
157,173605,2015,24.5514,1,6,4,3,2,1,2,73.48
158,173606,2015,21.1788,2,6,2,3,1,4,2,64.86
159,173607,2015,26.3414,2,8,4,7,1,3,2,83.46
160,173608,2015,26.6731,1,8,2,2,3,3,2,79.83
161,173609,2015,20.0454,2,6,1,7,2,1,2,67.13
162,173610,2015,18.7813,1,5,7,5,2,1,2,49.9
163,173611,2015,25.0274,1,8,3,2,3,1,2,61.69
164,173612,2015,29.3492,2,8,1,7,2,1,2,92.99
165,173615,2015,27.7743,2,6,4,2,4,1,2,88
166,173616,2015,33.3223,2,1,4,6,2,1,2,90.72
167,173617,2015,21.6978,1,8,3,4,2,3,2,61.24
168,173618,2015,21.1713,2,7,3,5,1,4,2,56.25
169,173619,2015,19.8438,2,6,4,5,1,3,2,50.8
170,173620,2015,25.0537,2,5,3,6,2,4,2,79.38
171,173621,2015,20.9408,2,7,6,6,2,1,2,71.67
172,173622,2015,20.5353,1,2,5,7,7,2,2,72.58
173,173623,2015,17.9269,2,6,4,7,2,3,2,47.63
174,173624,2015,37.0286,1,8,6,7,5,3,2,113.4
175,173625,2015,20.0893,1,1,5,5,2,4,2,56.7
176,173626,2015,20.2442,2,6,3,5,2,3,2,49.9
177,173627,2015,19.5527,1,8,1,1,2,3,2,59.88
178,173628,2015,18.9936,1,3,7,7,3,3,2,51.71
179,173629,2015,20.2906,1,7,2,2,1,3,2,62.14
180,173630,2015,23.7033,1,5,2,1,4,1,2,79.38
181,173632,2015,29.0256,2,6,4,4,1,3,2,99.34
182,173633,2015,20.0576,1,8,1,7,4,3,2,49.44
183,173634,2015,20.09,1,5,4,3,3,3,2,58.06
184,173635,2015,17.2664,1,2,1,1,4,3,2,49.9
185,173636,2015,20.4048,2,5,5,5,2,1,2,58.97
186,173638,2015,17.6679,2,1,7,7,1,2,2,40.82
187,173639,2015,33.4727,2,5,4,3,3,1,2,102.51
188,173640,2015,24.6436,2,6,4,1,2,4,2,71.22
189,173641,2015,20.3171,1,8,3,6,3,1,2,68.04
190,173643,2015,19.2508,2,6,4,4,3,1,2,68.04
191,173644,2015,50.1417,2,1,1,7,2,4,2,141.52
192,173645,2015,15.9963,2,6,7,3,3,2,2,43.55
193,173646,2015,23.003,2,5,2,4,2,3,2,56.7
194,173647,2015,18.2866,2,5,3,2,2,1,2,61.24
