,index,year,bmi,Vape Use,Physical Activity,Television,Electronic Devices,Grades,race,sex
2788,192943,2017,20.5353,2,2,1,2,2,3,2
2789,192944,2017,31.4424,2,1,1,1,1,1,2
2790,192946,2017,21.6728,1,1,1,1,1,4,2
2791,192947,2017,28.2339,2,1,1,1,1,1,2
2792,192948,2017,22.2171,2,3,2,3,1,1,2
2793,192949,2017,25.4463,2,1,1,1,1,1,2
2794,192950,2017,29.4012,2,4,3,4,1,1,2
2795,192951,2017,19.6194,2,1,1,1,1,1,2
2796,192953,2017,21.0,2,3,4,3,3,1,2
2797,192954,2017,25.7617,2,1,1,1,1,2,2
2798,192955,2017,21.0,2,1,1,1,1,1,2
2799,192956,2017,20.0074,2,1,1,1,1,2,2
2800,192957,2017,28.1734,1,1,1,1,3,2,2
2801,192958,2017,25.8255,1,1,1,1,1,1,2
2802,192961,2017,24.8981,2,1,1,1,1,1,2
2803,192963,2017,19.8996,2,6,7,6,4,1,2
2804,192964,2017,18.5143,2,2,1,2,1,1,2
2805,192966,2017,31.4127,1,1,1,1,1,1,2
2806,192968,2017,21.1747,1,1,1,1,1,1,2
2807,192969,2017,18.0484,2,3,2,3,3,2,2
2808,192970,2017,22.2872,2,1,1,1,1,4,2
2809,192972,2017,18.6119,1,1,1,1,1,1,2
2810,192973,2017,19.7033,2,1,1,1,1,1,2
2811,192974,2017,27.1998,1,1,1,1,1,1,2
2812,192975,2017,17.8955,1,1,1,1,1,1,2
2813,192976,2017,20.7581,2,2,1,2,1,1,2
2814,192977,2017,22.3476,2,2,1,2,1,4,2
2815,192978,2017,22.7338,2,1,1,1,1,1,2
2816,192979,2017,22.2018,1,2,1,2,1,1,2
2817,192980,2017,22.8698,3,2,2,2,1,1,2
2818,192981,2017,23.4595,2,1,1,1,1,2,2
2819,192982,2017,17.68,2,3,3,3,1,1,2
2820,192983,2017,19.6194,1,1,1,1,1,1,2
2821,192984,2017,36.1926,1,1,1,1,1,3,2
2822,192985,2017,24.4376,2,1,1,1,1,3,2
2823,192986,2017,21.3407,1,1,1,1,1,3,2
2824,192987,2017,20.2994,1,3,4,3,1,1,2
2825,192988,2017,24.1071,2,1,1,1,1,1,2
2826,192989,2017,22.191,1,1,1,1,1,1,2
2827,192990,2017,25.8255,2,1,1,1,1,1,2
2828,192991,2017,21.2169,2,1,1,1,1,3,2
2829,192992,2017,23.7994,2,1,1,1,1,1,2
2830,192993,2017,20.5353,1,1,1,1,1,1,2
2831,192999,2017,19.2169,1,1,1,1,1,1,2
2832,193000,2017,22.0458,1,1,1,1,1,3,2
2833,193001,2017,19.3284,2,1,1,1,1,4,2
2834,193002,2017,34.0669,2,3,4,3,2,1,2
2835,193003,2017,19.6393,1,1,1,1,1,1,2
2836,193004,2017,20.3171,6,3,4,3,3,2,2
2837,193005,2017,21.4746,1,1,1,1,1,1,2
2838,193009,2017,27.886,1,1,1,1,1,3,2
2839,193010,2017,19.7033,2,1,1,1,2,3,2
2840,193012,2017,25.7405,1,1,1,1,6,3,2
2841,193013,2017,24.9114,1,1,1,1,1,2,2
2842,193014,2017,18.8991,2,1,1,1,1,1,2
2843,193016,2017,20.7347,2,1,1,1,1,3,2
2844,193019,2017,21.0,2,1,1,1,1,3,2
2845,193020,2017,24.8047,1,1,1,1,2,2,2
2846,193022,2017,18.9012,1,2,2,2,1,1,2
2847,193023,2017,27.2812,1,1,1,1,1,3,2
2848,193024,2017,26.5988,2,1,1,1,1,3,2
2849,193025,2017,24.5514,2,1,1,1,1,3,2
2850,193026,2017,18.8339,2,3,3,3,1,1,2
2851,193027,2017,27.6228,2,1,1,1,1,3,2
2852,193028,2017,29.7698,2,1,1,1,1,3,2
2853,193030,2017,29.7978,1,1,1,1,1,1,2
2854,193031,2017,34.0086,1,2,1,2,1,1,2
2855,193032,2017,28.4452,1,3,4,3,1,4,2
2856,193034,2017,35.8538,1,1,1,1,4,3,2
2857,193039,2017,21.7006,2,1,1,1,1,2,2
2858,193040,2017,32.1662,1,1,1,1,1,1,2
2859,193041,2017,27.1998,1,2,1,2,1,1,2
2860,193042,2017,23.1589,2,1,1,1,1,3,2
2861,193043,2017,23.0988,2,1,1,1,1,3,2
2862,193044,2017,33.184,1,1,1,1,1,3,2
2863,193045,2017,17.5,1,1,1,1,1,1,2
2864,193047,2017,20.995,1,1,1,1,2,1,2
2865,193048,2017,25.7157,1,3,4,3,1,4,2
2866,193049,2017,23.4923,2,2,1,2,1,1,2
2867,193050,2017,23.0988,2,2,1,2,1,2,2
2868,193051,2017,25.9121,2,1,1,1,1,3,2
2869,193053,2017,22.8204,2,1,1,1,1,3,2
2870,193055,2017,20.09,4,5,6,5,6,4,2
2871,193057,2017,21.4746,2,4,3,4,1,3,2
2872,193058,2017,27.4671,1,1,1,1,1,3,2
2873,193059,2017,18.9615,1,1,1,1,1,1,2
2874,193060,2017,17.4949,1,3,3,3,1,1,2
2875,193061,2017,28.5675,2,3,4,3,1,1,2
2876,193063,2017,20.2994,1,1,1,1,1,1,2
2877,193064,2017,17.179,2,1,1,1,1,1,2
2878,193065,2017,25.0537,1,1,1,1,1,1,2
2879,193066,2017,22.0789,2,1,1,1,1,3,2
2880,193067,2017,26.6612,2,1,1,1,2,4,2
2881,193070,2017,20.4048,1,2,2,2,1,1,2
2882,193071,2017,28.19,2,2,2,2,1,4,2
2883,193072,2017,19.4765,2,1,1,1,1,4,2
2884,193073,2017,17.2664,1,1,1,1,1,3,2
2885,193075,2017,21.3407,2,1,1,1,1,2,2
2886,193076,2017,29.5184,2,1,1,1,1,2,2
2887,193077,2017,21.1903,2,1,1,1,1,1,2
2888,193078,2017,29.3495,1,3,4,3,1,1,2
2889,193079,2017,18.6119,2,1,1,1,1,1,2
2890,193080,2017,21.2067,2,5,5,5,2,1,2
2891,193081,2017,28.1404,2,1,1,1,1,2,2
2892,193082,2017,27.6963,1,1,1,1,1,2,2
2893,193083,2017,22.4593,1,2,1,2,1,1,2
2894,193085,2017,29.1788,2,1,1,1,1,4,2
2895,193086,2017,23.8465,2,1,1,1,1,1,2
2896,193087,2017,19.1589,2,1,1,1,1,3,2
2897,193088,2017,23.7994,2,2,1,2,1,1,2
2898,193089,2017,15.7493,1,1,1,1,1,4,2
2899,193090,2017,21.7006,2,2,1,2,2,2,2
2900,193091,2017,24.4844,1,1,1,1,1,3,2
2901,193092,2017,19.2555,1,1,1,1,1,2,2
2902,193093,2017,26.8408,2,1,1,1,2,2,2
2903,193094,2017,23.0255,1,3,2,3,1,1,2
2904,193095,2017,24.2425,2,1,1,1,1,2,2
2905,193096,2017,26.8082,1,1,1,1,1,1,2
2906,193098,2017,27.5917,5,3,3,3,2,2,2
2907,193099,2017,19.3284,2,1,1,1,1,1,2
2908,193100,2017,22.9075,2,3,3,3,1,4,2
2909,193101,2017,18.8339,1,1,1,1,1,1,2
2910,193102,2017,28.7006,2,4,3,4,1,1,2
2911,193103,2017,20.6749,2,2,1,2,1,1,2
2912,193104,2017,19.2555,2,1,1,1,1,1,2
2913,193107,2017,21.1903,1,1,1,1,1,1,2
2914,193108,2017,25.9762,2,2,1,2,1,3,2
2915,193109,2017,21.0665,1,1,1,1,1,4,2
2916,193112,2017,20.8264,1,3,4,3,1,3,2
2917,193114,2017,24.9114,2,2,3,2,1,3,2
2918,193116,2017,21.6166,1,2,2,2,1,4,2
2919,193117,2017,33.3257,2,1,1,1,3,4,2
2920,193118,2017,34.0669,2,1,1,1,1,2,2
2921,193119,2017,21.5209,1,1,1,1,1,1,2
2922,193120,2017,26.9584,2,1,1,1,1,3,2
2923,193121,2017,27.9163,2,1,1,1,1,1,2
2924,193122,2017,28.3232,2,1,1,1,1,2,2
2925,193123,2017,24.9644,2,1,1,1,1,3,2
2926,193124,2017,25.1788,2,1,1,1,1,1,2
2927,193127,2017,32.6704,2,1,1,1,2,1,2
2928,193128,2017,20.2906,1,1,1,1,1,4,2
2929,193129,2017,26.6384,2,1,1,1,1,4,2
2930,193130,2017,17.8955,2,1,1,1,1,1,2
2931,193131,2017,19.6393,2,2,2,2,1,1,2
2932,193132,2017,20.2994,2,1,1,1,1,3,2
2933,193133,2017,26.4866,2,1,1,1,1,1,2
2934,193134,2017,17.7731,4,6,6,6,6,1,2
2935,193135,2017,23.7438,1,3,1,3,4,1,2
2936,193136,2017,23.4316,2,1,1,1,5,1,2
2937,193137,2017,23.6136,1,1,1,1,1,1,2
2938,193138,2017,21.4759,2,2,1,2,1,1,2
2939,193140,2017,21.0,2,1,1,1,1,3,2
2940,193142,2017,23.1015,2,3,1,3,1,3,2
2941,193143,2017,18.2694,2,4,4,4,1,1,2
2942,193144,2017,35.5461,1,1,1,1,1,3,2
2943,193146,2017,25.0058,2,5,5,5,1,3,2
2944,193147,2017,21.9753,2,1,1,1,1,1,2
2945,193148,2017,25.059,2,4,3,4,6,1,2
2946,193149,2017,26.8221,1,1,1,1,1,1,2
2947,193150,2017,19.9967,2,1,1,1,1,1,2
2948,193151,2017,23.6208,2,2,1,2,1,4,2
2949,193152,2017,22.2593,2,1,1,1,1,2,2
2950,193154,2017,19.448,1,1,1,1,1,3,2
2951,193155,2017,18.5537,2,1,1,1,1,3,2
2952,193156,2017,19.7669,4,1,1,1,1,3,2
2953,193158,2017,17.5816,2,1,1,1,1,2,2
2954,193159,2017,23.359,2,1,1,1,1,1,2
2955,193160,2017,18.1827,1,1,1,1,1,4,2
2956,193161,2017,38.3214,1,1,1,1,2,3,2
2957,193162,2017,18.6119,2,1,1,1,1,3,2
