,index,year,bmi,Vape_Use,Physical_Activity,Television,Electronic_Devices,Grades,race,sex,weight,marijuana_use,cyber_bullied
7707,182953,2015,28.3205,1,5,2.0,5.0,1,1,1,68.04,2,1
7708,182954,2015,23.5867,2,3,4.0,0.5,2,1,1,53.07,2,2
7709,182955,2015,26.0554,2,1,0.5,5.0,1,1,1,75.3,2,1
7710,182956,2015,19.633,2,3,2.0,0.0,1,4,1,45.36,2,2
7711,182957,2015,31.3386,2,4,3.0,0.0,2,2,1,88.45,2,2
7712,182958,2015,29.8314,2,0,0.0,5.0,7,2,1,71.67,1,2
7713,182959,2015,21.6602,2,4,5.0,1.0,1,2,1,58.97,2,2
7714,182960,2015,23.5433,1,5,3.0,4.0,3,1,1,68.04,1,2
7715,182962,2015,26.6826,2,0,3.0,0.0,3,2,1,65.77,1,2
7716,182964,2015,31.8945,1,0,0.0,0.5,2,2,1,81.65,1,2
7717,182965,2015,26.4904,2,6,5.0,5.0,2,3,1,72.12,1,2
7718,182966,2015,17.2664,2,7,5.0,3.0,2,4,1,49.9,2,2
7719,182967,2015,21.3407,2,6,0.0,4.0,1,3,1,56.7,2,2
7720,182968,2015,16.3205,2,3,3.0,4.0,4,3,1,51.71,1,1
7721,182969,2015,22.5778,2,0,0.0,3.0,1,4,1,50.8,2,2
7722,182970,2015,21.2041,1,1,3.0,2.0,2,3,1,48.99,1,2
7723,182971,2015,18.5849,2,2,0.0,5.0,2,1,1,45.81,2,2
7724,182972,2015,21.346,1,5,2.0,2.0,2,2,1,61.69,2,1
7725,182974,2015,23.6584,1,0,5.0,5.0,2,2,1,64.41,1,2
7726,182975,2015,17.9945,2,7,4.0,5.0,3,4,1,48.99,2,2
7727,182976,2015,22.6556,2,6,0.5,0.0,2,2,1,54.43,2,2
7728,182979,2015,30.8246,2,3,2.0,5.0,2,1,1,83.92,2,2
7729,182980,2015,30.3117,2,7,3.0,3.0,3,1,1,90.72,1,2
7730,182981,2015,20.5711,2,4,2.0,5.0,2,1,1,58.06,2,2
7731,182982,2015,20.4117,1,3,2.0,0.5,1,2,1,57.61,2,2
7732,182983,2015,18.519,2,5,0.0,0.0,1,1,1,53.52,2,2
7733,182984,2015,21.1446,2,6,0.5,3.0,1,1,1,50.8,2,2
7734,182985,2015,18.9609,2,6,0.5,0.5,1,1,1,48.54,2,2
7735,182986,2015,27.6431,2,2,0.0,2.0,2,3,1,78.02,2,2
7736,182987,2015,21.5017,2,4,1.0,4.0,1,1,1,62.14,1,2
7737,182988,2015,27.3207,1,2,1.0,5.0,3,3,1,77.11,1,2
7738,182989,2015,22.6556,2,6,1.0,3.0,2,3,1,54.43,2,2
7739,182991,2015,22.7338,2,6,2.0,3.0,1,1,1,68.04,2,2
7740,182992,2015,18.6593,2,2,1.0,2.0,2,1,1,50.8,2,2
7741,182993,2015,19.3233,2,5,5.0,3.0,2,1,1,47.63,2,2
7742,182994,2015,28.8937,2,5,3.0,3.0,1,1,1,71.22,2,1
7743,182996,2015,21.2617,1,4,5.0,5.0,1,1,1,54.43,1,2
7744,182997,2015,26.9983,2,1,0.0,5.0,1,4,1,76.2,2,2
7745,182998,2015,21.7928,1,7,2.0,0.5,1,4,1,50.35,1,2
7746,182999,2015,18.6055,2,7,0.5,5.0,1,1,1,47.63,1,1
7747,183000,2015,24.1579,2,0,4.0,2.0,1,1,1,65.77,2,2
7748,183002,2015,18.3401,2,3,0.5,5.0,2,4,1,38.56,2,2
7749,183003,2015,24.9917,1,2,5.0,5.0,2,1,1,68.04,1,1
7750,183005,2015,20.1438,1,5,1.0,1.0,2,1,1,53.52,2,1
7751,183006,2015,28.5273,1,2,4.0,5.0,5,1,1,73.03,1,2
7752,183007,2015,20.375,1,4,2.0,4.0,1,1,1,52.16,1,2
7753,183008,2015,20.2442,1,3,1.0,5.0,3,3,1,49.9,1,2
7754,183009,2015,22.6021,2,0,0.0,5.0,2,4,1,65.32,2,2
7755,183010,2015,16.6612,2,3,0.5,1.0,1,1,1,45.36,2,2
7756,183011,2015,17.415,1,2,3.0,5.0,7,1,1,46.27,1,1
7757,183012,2015,20.9785,2,3,3.0,5.0,2,1,1,51.71,2,2
7758,183014,2015,23.6584,2,1,5.0,0.0,2,2,1,64.41,2,2
7759,183015,2015,24.4922,2,2,0.0,3.0,1,1,1,66.68,2,2
7760,183016,2015,18.9541,2,4,2.0,1.0,1,1,1,46.72,2,1
7761,183017,2015,19.4922,1,1,2.0,5.0,3,3,1,49.9,1,2
7762,183018,2015,23.7867,1,5,3.0,5.0,2,1,1,53.52,2,2
7763,183019,2015,17.7188,1,2,2.0,0.5,2,1,1,45.36,1,2
7764,183020,2015,19.8796,2,5,0.0,4.0,2,1,1,64.41,2,2
7765,183021,2015,19.4922,1,3,5.0,5.0,3,1,1,49.9,1,1
7766,183022,2015,22.7753,2,6,0.5,5.0,2,3,1,52.62,2,1
7767,183024,2015,27.3757,2,7,0.5,5.0,1,3,1,65.77,2,2
7768,183025,2015,20.4863,1,7,0.5,0.0,2,1,1,54.43,2,1
7769,183026,2015,19.4922,1,0,0.5,4.0,3,3,1,49.9,2,1
7770,183027,2015,30.1797,1,4,4.0,0.5,4,3,1,74.39,1,2
7771,183028,2015,17.9269,1,7,0.0,0.0,1,2,1,47.63,1,2
7772,183029,2015,25.7617,2,4,0.0,4.0,2,3,1,63.5,2,2
7773,183030,2015,21.6602,1,5,3.0,5.0,1,3,1,58.97,2,2
7774,183031,2015,23.0494,2,3,3.0,0.0,3,3,1,61.24,2,2
7775,183032,2015,23.6584,2,2,4.0,2.0,2,3,1,64.41,2,2
7776,183033,2015,19.805,1,6,0.5,2.0,2,1,1,52.62,1,2
7777,183034,2015,18.8283,2,1,3.0,0.5,3,3,1,51.26,2,2
7778,183035,2015,21.2617,2,7,1.0,5.0,1,3,1,54.43,1,1
7779,183036,2015,32.9813,2,1,0.5,5.0,2,3,1,76.2,2,2
7780,183037,2015,22.4512,1,7,0.0,2.0,3,3,1,55.34,2,1
